"","NamePublicationEnglish","WHOregionCode","VaccineCode","Year","PerCentCoverage","Life.Expectancy","VaccineLevel","Life.Expectancy.Level"
"1","Afghanistan","EMRO","DTP3",2017,81.45575788,61.37,"L","L"
"2","Afghanistan","EMRO","Pol3",2017,93.42395242,61.37,"H","L"
"3","Afghanistan","EMRO","MCV1",2017,77.761993,61.37,"L","L"
"4","Albania","EURO","MCV1",2017,95.66334091,78.34,"H","H"
"5","Albania","EURO","RCV1",2017,95.66334091,78.34,"H","H"
"6","Albania","EURO","DTP3",2017,98.99239356,78.34,"H","H"
"7","Albania","EURO","Pol3",2017,98.94958675,78.34,"H","H"
"8","Algeria","AFRO","RCV1",2017,88,75.48,"L","H"
"9","Algeria","AFRO","Pol3",2017,91,75.48,"L","H"
"10","Algeria","AFRO","MCV1",2017,88,75.48,"L","H"
"11","Algeria","AFRO","DTP3",2017,91,75.48,"L","H"
"12","Angola","AFRO","Pol3",2017,73,53.48,"L","L"
"13","Angola","AFRO","DTP3",2017,77,53.48,"L","L"
"14","Angola","AFRO","MCV1",2017,71,53.48,"L","L"
"15","Antigua and Barbuda","AMRO","MCV1",2017,100,76.57,"H","H"
"16","Antigua and Barbuda","AMRO","RCV1",2017,100,76.57,"H","H"
"17","Antigua and Barbuda","AMRO","DTP3",2017,95,76.57,"H","H"
"18","Antigua and Barbuda","AMRO","Pol3",2017,94,76.57,"H","H"
"19","Argentina","AMRO","Pol3",2017,84,76.81,"L","H"
"20","Argentina","AMRO","MCV1",2017,89,76.81,"L","H"
"21","Argentina","AMRO","RCV1",2017,89,76.81,"L","H"
"22","Argentina","AMRO","DTP3",2017,86,76.81,"L","H"
"23","Armenia","EURO","RCV1",2017,96,75.25,"H","H"
"24","Armenia","EURO","Pol3",2017,96,75.25,"H","H"
"25","Armenia","EURO","MCV1",2017,96,75.25,"H","H"
"26","Armenia","EURO","DTP3",2017,94,75.25,"H","H"
"27","Australia","WPRO","DTP3",2017,94.75,82.9,"H","H"
"28","Australia","WPRO","Pol3",2017,94.72,82.9,"H","H"
"29","Azerbaijan","EURO","Pol3",2017,96.9,71.09,"H","L"
"30","Azerbaijan","EURO","DTP3",2017,95.4,71.09,"H","L"
"31","Azerbaijan","EURO","MCV1",2017,97.6,71.09,"H","L"
"32","Azerbaijan","EURO","RCV1",2017,97.6,71.09,"H","L"
"33","Bahrain","EMRO","Pol3",2017,97.64,76.98,"H","H"
"34","Bahrain","EMRO","DTP3",2017,97.4,76.98,"H","H"
"35","Bahrain","EMRO","RCV1",2017,100,76.98,"H","H"
"36","Bahrain","EMRO","MCV1",2017,100,76.98,"H","H"
"37","Bangladesh","SEARO","RCV1",2017,116,72.7,"H","L"
"38","Bangladesh","SEARO","Pol3",2017,117,72.7,"H","L"
"39","Bangladesh","SEARO","DTP3",2017,116,72.7,"H","L"
"40","Bangladesh","SEARO","MCV1",2017,116,72.7,"H","L"
"41","Barbados","AMRO","RCV1",2017,92,76.09,"L","H"
"42","Barbados","AMRO","Pol3",2017,91,76.09,"L","H"
"43","Barbados","AMRO","MCV1",2017,92,76.09,"L","H"
"44","Barbados","AMRO","DTP3",2017,90,76.09,"L","H"
"45","Belarus","EURO","MCV1",2017,97.4,71.66,"H","L"
"46","Belarus","EURO","RCV1",2017,97.4,71.66,"H","L"
"47","Belarus","EURO","DTP3",2017,97.3,71.66,"H","L"
"48","Belarus","EURO","Pol3",2017,98.1,71.66,"H","L"
"49","Belize","AMRO","RCV1",2017,90,70.36,"L","L"
"50","Belize","AMRO","DTP3",2017,88,70.36,"L","L"
"51","Belize","AMRO","Pol3",2017,88,70.36,"L","L"
"52","Belize","AMRO","MCV1",2017,90,70.36,"L","L"
"53","Benin","AFRO","MCV1",2017,102.9719785,60.19,"H","L"
"54","Benin","AFRO","Pol3",2017,106.2458723,60.19,"H","L"
"55","Benin","AFRO","DTP3",2017,105.8879197,60.19,"H","L"
"56","Bhutan","SEARO","Pol3",2017,97,70.54,"H","L"
"57","Bhutan","SEARO","MCV1",2017,95,70.54,"H","L"
"58","Bhutan","SEARO","RCV1",2017,95,70.54,"H","L"
"59","Bhutan","SEARO","DTP3",2017,97,70.54,"H","L"
"60","Bosnia and Herzegovina","EURO","RCV1",2017,69.3,76.93,"L","H"
"61","Bosnia and Herzegovina","EURO","Pol3",2017,74.7,76.93,"L","H"
"62","Bosnia and Herzegovina","EURO","DTP3",2017,74.7,76.93,"L","H"
"63","Bosnia and Herzegovina","EURO","MCV1",2017,69.3,76.93,"L","H"
"64","Botswana","AFRO","DTP3",2017,72.79357212,64.72,"L","L"
"65","Botswana","AFRO","RCV1",2017,73.34133135,64.72,"L","L"
"66","Botswana","AFRO","MCV1",2017,73.34133135,64.72,"L","L"
"67","Botswana","AFRO","Pol3",2017,72.31053371,64.72,"L","L"
"68","Brazil","AMRO","RCV1",2017,97,75.28,"H","H"
"69","Brazil","AMRO","MCV1",2017,97.11680582,75.28,"H","H"
"70","Brazil","AMRO","Pol3",2017,74.54520224,75.28,"L","H"
"71","Brazil","AMRO","DTP3",2017,88.64708272,75.28,"L","H"
"72","Bulgaria","EURO","MCV1",2017,93.78919269,74.5,"H","H"
"73","Bulgaria","EURO","DTP3",2017,92.28051997,74.5,"L","H"
"74","Bulgaria","EURO","RCV1",2017,93.78919269,74.5,"L","H"
"75","Bulgaria","EURO","Pol3",2017,92.28051997,74.5,"L","H"
"76","Burkina Faso","AFRO","RCV1",2017,100.9953102,59.68,"H","L"
"77","Burkina Faso","AFRO","MCV1",2017,100.9953102,59.68,"H","L"
"78","Burkina Faso","AFRO","DTP3",2017,106.118041,59.68,"H","L"
"79","Burkina Faso","AFRO","Pol3",2017,104.589843,59.68,"H","L"
"80","Burundi","AFRO","Pol3",2017,91.7446276,57.87,"L","L"
"81","Burundi","AFRO","RCV1",2017,90.25953272,57.87,"L","L"
"82","Burundi","AFRO","DTP3",2017,91.8177583,57.87,"L","L"
"83","Burundi","AFRO","MCV1",2017,90.25953272,57.87,"L","L"
"84","Cambodia","WPRO","Pol3",2017,100.6344795,69.71,"H","L"
"85","Cambodia","WPRO","RCV1",2017,101.0786152,69.71,"H","L"
"86","Cambodia","WPRO","MCV1",2017,101.0786152,69.71,"H","L"
"87","Cambodia","WPRO","DTP3",2017,101.0059802,69.71,"H","L"
"88","Cameroon","AFRO","MCV1",2017,77.38534522,56.8,"L","L"
"89","Cameroon","AFRO","DTP3",2017,85.54732387,56.8,"L","L"
"90","Cameroon","AFRO","RCV1",2017,77.38534522,56.8,"L","L"
