NamePublicationEnglish,WHOregionCode,ISO3countryCode,VaccineCode,Year,PerCentCoverage
Afghanistan,EMRO,AFG,BCG,2017,93.3391251
Afghanistan,EMRO,AFG,DTP1,2017,93.90416457
Afghanistan,EMRO,AFG,DTP3,2017,81.45575788
Afghanistan,EMRO,AFG,DTP4,2017,
Afghanistan,EMRO,AFG,HepB_BD,2017,29.78784801
Afghanistan,EMRO,AFG,HepB_BDall,2017,
Afghanistan,EMRO,AFG,HepB3,2017,81.45575788
Afghanistan,EMRO,AFG,Hib3,2017,81.45575788
Afghanistan,EMRO,AFG,IPV1,2017,79.52550571
Afghanistan,EMRO,AFG,JapEnc,2017,
Afghanistan,EMRO,AFG,MCV1,2017,77.761993
Afghanistan,EMRO,AFG,MCV2,2017,51.09806956
Afghanistan,EMRO,AFG,MenA,2017,
Afghanistan,EMRO,AFG,PAB_DTP1,2017,
Afghanistan,EMRO,AFG,PCV1,2017,90.86006508
Afghanistan,EMRO,AFG,PCV2,2017,83.6188899
Afghanistan,EMRO,AFG,PCV3,2017,81.27500776
Afghanistan,EMRO,AFG,Pol3,2017,93.42395242
Afghanistan,EMRO,AFG,RCV1,2017,
Afghanistan,EMRO,AFG,Rota1,2017,
Afghanistan,EMRO,AFG,RotaC,2017,
Afghanistan,EMRO,AFG,TT2plus,2017,85.89666996
Afghanistan,EMRO,AFG,VAD1,2017,
Afghanistan,EMRO,AFG,YFV,2017,
Albania,EURO,ALB,BCG,2017,98.97422495
Albania,EURO,ALB,DTP1,2017,99.45338997
Albania,EURO,ALB,DTP3,2017,98.99239356
Albania,EURO,ALB,DTP4,2017,97.92608264
Albania,EURO,ALB,HepB_BD,2017,99.11796413
Albania,EURO,ALB,HepB_BDall,2017,99.11796413
Albania,EURO,ALB,HepB3,2017,98.99239356
Albania,EURO,ALB,Hib3,2017,98.99239356
Albania,EURO,ALB,IPV1,2017,99.44021864
Albania,EURO,ALB,JapEnc,2017,
Albania,EURO,ALB,MCV1,2017,95.66334091
Albania,EURO,ALB,MCV2,2017,97.91624047
Albania,EURO,ALB,MenA,2017,
Albania,EURO,ALB,PAB_DTP1,2017,
Albania,EURO,ALB,PCV1,2017,99.25911291
Albania,EURO,ALB,PCV2,2017,99.13398531
Albania,EURO,ALB,PCV3,2017,98.74213836
Albania,EURO,ALB,Pol3,2017,98.94958675
Albania,EURO,ALB,RCV1,2017,95.66334091
Albania,EURO,ALB,Rota1,2017,
Albania,EURO,ALB,RotaC,2017,
Albania,EURO,ALB,TT2plus,2017,
Albania,EURO,ALB,VAD1,2017,
Albania,EURO,ALB,YFV,2017,
Algeria,AFRO,DZA,BCG,2017,100
Algeria,AFRO,DZA,DTP1,2017,95
Algeria,AFRO,DZA,DTP3,2017,91
Algeria,AFRO,DZA,DTP4,2017,
Algeria,AFRO,DZA,HepB_BD,2017,100
Algeria,AFRO,DZA,HepB_BDall,2017,100
Algeria,AFRO,DZA,HepB3,2017,91
Algeria,AFRO,DZA,Hib3,2017,91
Algeria,AFRO,DZA,IPV1,2017,92
Algeria,AFRO,DZA,JapEnc,2017,
Algeria,AFRO,DZA,MCV1,2017,88
Algeria,AFRO,DZA,MCV2,2017,92
Algeria,AFRO,DZA,MenA,2017,
Algeria,AFRO,DZA,PAB_DTP1,2017,98
Algeria,AFRO,DZA,PCV1,2017,91
Algeria,AFRO,DZA,PCV2,2017,90
Algeria,AFRO,DZA,PCV3,2017,89
Algeria,AFRO,DZA,Pol3,2017,91
Algeria,AFRO,DZA,RCV1,2017,88
Algeria,AFRO,DZA,Rota1,2017,
Algeria,AFRO,DZA,RotaC,2017,
Algeria,AFRO,DZA,TT2plus,2017,74
Algeria,AFRO,DZA,VAD1,2017,
Algeria,AFRO,DZA,YFV,2017,
Andorra,EURO,AND,BCG,2017,
Andorra,EURO,AND,DTP1,2017,
Andorra,EURO,AND,DTP3,2017,
Andorra,EURO,AND,DTP4,2017,
Andorra,EURO,AND,HepB_BD,2017,
Andorra,EURO,AND,HepB_BDall,2017,
Andorra,EURO,AND,HepB3,2017,
Andorra,EURO,AND,Hib3,2017,
Andorra,EURO,AND,IPV1,2017,
Andorra,EURO,AND,JapEnc,2017,
Andorra,EURO,AND,MCV1,2017,
Andorra,EURO,AND,MCV2,2017,
Andorra,EURO,AND,MenA,2017,
Andorra,EURO,AND,PAB_DTP1,2017,
Andorra,EURO,AND,PCV1,2017,
Andorra,EURO,AND,PCV2,2017,
Andorra,EURO,AND,PCV3,2017,
Andorra,EURO,AND,Pol3,2017,
Andorra,EURO,AND,RCV1,2017,
Andorra,EURO,AND,Rota1,2017,
Andorra,EURO,AND,RotaC,2017,
Andorra,EURO,AND,TT2plus,2017,
Andorra,EURO,AND,VAD1,2017,
Andorra,EURO,AND,YFV,2017,
Angola,AFRO,AGO,BCG,2017,92
Angola,AFRO,AGO,DTP1,2017,91
Angola,AFRO,AGO,DTP3,2017,77
Angola,AFRO,AGO,DTP4,2017,
Angola,AFRO,AGO,HepB_BD,2017,
Angola,AFRO,AGO,HepB_BDall,2017,52
Angola,AFRO,AGO,HepB3,2017,77
Angola,AFRO,AGO,Hib3,2017,77
Angola,AFRO,AGO,IPV1,2017,0
Angola,AFRO,AGO,JapEnc,2017,
Angola,AFRO,AGO,MCV1,2017,71
Angola,AFRO,AGO,MCV2,2017,30
Angola,AFRO,AGO,MenA,2017,
Angola,AFRO,AGO,PAB_DTP1,2017,
Angola,AFRO,AGO,PCV1,2017,88
Angola,AFRO,AGO,PCV2,2017,75
Angola,AFRO,AGO,PCV3,2017,74
Angola,AFRO,AGO,Pol3,2017,73
Angola,AFRO,AGO,RCV1,2017,
Angola,AFRO,AGO,Rota1,2017,82
Angola,AFRO,AGO,RotaC,2017,68
Angola,AFRO,AGO,TT2plus,2017,67
Angola,AFRO,AGO,VAD1,2017,28
Angola,AFRO,AGO,YFV,2017,57
Antigua and Barbuda,AMRO,ATG,BCG,2017,
