Country,Life Expectancy,Rank,,Life Expectancy
Afghanistan,61.37,177,,61.37 years
Albania,78.34,50,,78.341 years
Algeria,75.48,81,,75.486 years
Angola,53.48,195,,53.483 years
Antigua and Barbuda,76.57,68,,76.577 years
Argentina,76.81,64,,76.817 years
Armenia,75.25,88,,75.258 years
Aruba,75.96,74,,75.96 years
Australia,82.90,9,,82.906 years
Austria,81.97,20,,81.971 years
Azerbaijan,71.09,122,,71.099 years
Bahamas,75.88,75,,75.881 years
Bahrain,76.98,62,,76.987 years
Bangladesh,72.70,113,,72.709 years
Barbados,76.09,71,,76.092 years
Belarus,71.66,119,,71.664 years
Belgium,81.34,27,,81.345 years
Belize,70.36,131,,70.362 years
Benin,60.19,181,,60.197 years
Bhutan,70.54,127,,70.545 years
Bolivia,69.45,138,,69.452 years
Bosnia and Herzegovina,76.93,63,,76.939 years
Botswana,64.72,162,,64.72 years
Brazil,75.28,87,,75.287 years
Brunei,79.42,46,,79.423 years
Bulgaria,74.50,99,,74.508 years
Burkina Faso,59.68,184,,59.686 years
Burundi,57.87,187,,57.874 years
Cambodia,69.71,136,,69.711 years
Cameroon,56.80,190,,56.809 years
Canada,82.56,13,,82.563 years
Cape Verde,74.03,102,,74.033 years
Central African Republic,52.87,196,,52.871 years
Chad,52.43,198,,52.438 years
Chile,82.51,14,,82.515 years
China,76.38,69,,76.386 years
Colombia,74.62,97,,74.624 years
Comoros,64.09,165,,64.096 years
Costa Rica,79.99,42,,79.993 years
Croatia,77.84,53,,77.845 years
Cuba,79.93,43,,79.934 years
Cura?ao,78.56,49,,78.564 years
Cyprus,80.67,35,,80.673 years
Czech Republic,79.06,47,,79.061 years
Denmark,80.7 ,34,,80.7 years
Djibouti,62.71,171,,62.713 years
Dominican Republic,74.00,103,,74.001 years
DR Congo,59.74,183,,59.743 years
Ecuador,76.59,67,,76.594 years
Egypt,71.70,118,,71.705 years
El Salvador,73.75,105,,73.751 years
Equatorial Guinea,58.47,186,,58.476 years
Eritrea,64.95,161,,64.956 years
Estonia,77.24,59,,77.244 years
Ethiopia,65.57,158,,65.571 years
Fiji,70.48,128,,70.488 years
Finland,81.38,26,,81.386 years
France,82.74,10,,82.74 years
French Guiana,80.17,38,,80.177 years
French Polynesia,77.11,61,,77.114 years
Gabon,65.83,156,,65.831 years
Gambia,60.96,179,,60.968 years
Georgia,75.30,86,,75.309 years
Germany,81.44,24,,81.449 years
Ghana,61.91,174,,61.914 years
Greece,81.46,23,,81.465 years
Grenada,73.83,104,,73.835 years
Guadeloupe,81.79,21,,81.793 years
Guam,79.89,44,,79.898 years
Guatemala,72.52,115,,72.523 years
Guinea,60.02,182,,60.02 years
Guinea-Bissau,56.06,193,,56.065 years
Guyana,66.70,149,,66.705 years
Haiti,63.72,167,,63.729 years
Honduras,73.73,106,,73.736 years
Hong Kong,84.46,1,,84.462 years
Hungary,75.54,79,,75.548 years
Iceland,83.05,7,,83.056 years
India,68.94,142,,68.947 years
Indonesia,69.40,139,,69.409 years
Iran,75.86,76,,75.861 years
Iraq,69.95,133,,69.951 years
Ireland,81.43,25,,81.431 years
Israel,82.93,8,,82.932 years
Italy,83.68,3,,83.686 years
Ivory Coast,52.64,197,,52.643 years
Jamaica,76.07,72,,76.072 years
Japan,83.99,2,,83.995 years
Jordan,74.48,100,,74.481 years
